#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  113
#! SET periodic_phi true
   -3.141592654   92.732987627   43.833364423
   -3.085989244   95.078578232   39.988000117
   -3.030385834   97.200696003   35.912723959
   -2.974782424   99.088973914   31.637727634
   -2.919179014  100.736695801   27.277091560
   -2.863575605  102.129970555   22.767927763
   -2.807972195  103.281661559   18.224242325
   -2.752368785  104.179454963   13.761839373
   -2.696765375  104.820887244    9.346805148
   -2.641161965  105.235671486    5.287534761
   -2.585558556  105.427698081    1.640109189
   -2.529955146  105.435639653   -1.361363803
   -2.474351736  105.300325240   -3.715211381
   -2.418748326  105.050727704   -5.338622365
   -2.363144916  104.732367324   -6.285528739
   -2.307541507  104.375150150   -6.718252766
   -2.251938097  104.006139418   -6.589397061
   -2.196334687  103.645022627   -6.161297712
   -2.140731277  103.319891999   -5.526194409
   -2.085127867  103.038639317   -4.463552911
   -2.029524458  102.826892096   -3.187707384
   -1.973921048  102.704365052   -1.437447223
   -1.918317638  102.671567973    0.544923863
   -1.862714228  102.765299434    2.940989899
   -1.807110818  102.993606328    5.401494010
   -1.751507409  103.364162270    7.844782573
   -1.695903999  103.852605997    9.711272481
   -1.640300589  104.425492887   10.864183908
   -1.584697179  105.031784179   10.750128060
   -1.529093769  105.589833409    9.255548253
   -1.473490360  106.025485005    6.345389530
   -1.417886950  106.269047201    2.266298759
   -1.362283540  106.259063774   -2.546110774
   -1.306680130  105.963884440   -7.809558165
   -1.251076720  105.371595933  -13.194957771
   -1.195473311  104.493127615  -18.161522837
   -1.139869901  103.363982763  -22.366844008
   -1.084266491  102.005465184  -25.910418745
   -1.028663081  100.476879452  -28.821515483
   -0.973059671   98.802739013  -31.182357435
   -0.917456262   97.012692447  -33.115497793
   -0.861852852   95.118066137  -34.735860088
   -0.806249442   93.139439055  -36.106895152
   -0.750646032   91.097210277  -37.208225583
   -0.695042622   88.995868730  -37.998677339
   -0.639439213   86.865866725  -38.332460336
   -0.583835803   84.737949886  -38.010199903
   -0.528232393   82.651210799  -36.817539118
   -0.472628983   80.658381302  -34.844245280
   -0.417025573   78.792300342  -32.039500333
   -0.361422164   77.092082072  -28.578136449
   -0.305818754   75.610035308  -24.573005594
   -0.250215344   74.360224294  -20.120208338
   -0.194611934   73.370936829  -15.395213658
   -0.139008524   72.654169817  -10.412090627
   -0.083405115   72.215982067   -5.241320735
   -0.027801705   72.076440659    0.194756330
    0.027801705   72.242266821    5.814998450
    0.083405115   72.727019653   11.494605510
    0.139008524   73.520564936   17.207918699
    0.194611934   74.639323365   22.717351612
    0.250215344   76.046538812   27.682212002
    0.305818754   77.709529262   31.917346249
    0.361422164   79.576697605   35.102794885
    0.417025573   81.591935445   37.276476314
    0.472628983   83.706391560   38.425905354
    0.528232393   85.863162400   38.764744992
    0.583835803   88.010207074   38.379989979
    0.639439213   90.115107225   37.325080052
    0.695042622   92.139929614   35.499451622
    0.750646032   94.056426762   32.950223450
    0.806249442   95.795596254   29.495605572
    0.861852852   97.312142170   24.996284434
    0.917456262   98.551286140   19.296335850
    0.973059671   99.434567370   12.566195853
    1.028663081   99.921832631    4.993075016
    1.084266491   99.968785019   -3.276869483
    1.139869901   99.548366479  -11.780370520
    1.195473311   98.649802569  -20.325151655
    1.251076720   97.286688011  -28.624975358
    1.306680130   95.467265510  -36.612130848
    1.362283540   93.215606700  -44.109337862
    1.417886950   90.569579342  -50.752864910
    1.473490360   87.570022869  -56.655995375
    1.529093769   84.271901031  -61.562429261
    1.584697179   80.734138501  -65.292677363
    1.640300589   77.028769744  -67.603204548
    1.695903999   73.240540966  -68.334230465
    1.751507409   69.460533305  -67.275955228
    1.807110818   65.789944880  -64.422797766
    1.862714228   62.322912083  -59.906662751
    1.918317638   59.154187071  -53.712885850
    1.973921048   56.370545359  -46.001768732
    2.029524458   54.046879953  -37.007808821
    2.085127867   52.263647793  -27.090164944
    2.140731277   51.047994530  -16.392759544
    2.196334687   50.441534356   -5.377866482
    2.251938097   50.453105661    5.624390518
    2.307541507   51.068310336   16.394279949
    2.363144916   52.257665892   26.309197892
    2.418748326   53.982261114   35.383662846
    2.474351736   56.167605758   43.166387566
    2.529955146   58.755716224   49.592076369
    2.585558556   61.660644303   54.464549948
    2.641161965   64.796079379   57.854253267
    2.696765375   68.086328674   59.956534592
    2.752368785   71.447866134   60.723126516
    2.807972195   74.826940021   60.329580931
    2.863575605   78.151145957   58.970467161
    2.919179014   81.384747581   56.879874807
    2.974782424   84.487946112   54.274833322
    3.030385834   87.429248831   51.115147632
    3.085989244   90.183106711   47.635024118
