#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  64
#! SET periodic_phi true
   -3.141592654 -103.070276549  -48.969771907
   -3.043417883 -107.497149723  -41.154477909
   -2.945243113 -111.130662155  -32.804063459
   -2.847068342 -113.920630309  -23.983237801
   -2.748893572 -115.833944516  -15.081417107
   -2.650718801 -116.894954398   -6.760385879
   -2.552544031 -117.205947221    0.059735989
   -2.454369261 -116.949186151    4.659119234
   -2.356194490 -116.357347154    6.946304467
   -2.258019720 -115.639624462    7.299227857
   -2.159844949 -114.956856585    6.318135971
   -2.061670179 -114.419090205    4.332343651
   -1.963495408 -114.131016224    1.195328705
   -1.865320638 -114.212037072   -3.152902317
   -1.767145868 -114.755005667   -8.022490164
   -1.668971097 -115.728764793  -11.588748839
   -1.570796327 -116.898042509  -11.655671566
   -1.472621556 -117.845180929   -7.029436564
   -1.374446786 -118.126396192    1.654175687
   -1.276272016 -117.448125774   12.043592754
   -1.178097245 -115.769663013   21.684328008
   -1.079922475 -113.250035840   29.136035714
   -0.981747704 -110.112194709   34.277185164
   -0.883572934 -106.550477133   37.942815987
   -0.785398163 -102.677572093   40.682077704
   -0.687223393  -98.583534364   42.311537954
   -0.589048623  -94.410867351   42.199092813
   -0.490873852  -90.370537076   39.512534332
   -0.392699082  -86.730396225   34.047288747
   -0.294524311  -83.742134788   26.308030280
   -0.196349541  -81.589767874   17.201845957
   -0.098174770  -80.376814179    7.274196122
    0.000000000  -80.172243254   -3.376671827
    0.098174770  -81.042625620  -14.605818508
    0.196349541  -83.013944853  -25.513225401
    0.294524311  -85.981843479  -34.639252588
    0.392699082  -89.697242848  -40.582401483
    0.490873852  -93.820744112  -43.027497949
    0.589048623  -98.038790209  -42.586018465
    0.687223393 -102.096661828  -39.844295454
    0.785398163 -105.761374947  -34.403100846
    0.883572934 -108.725986910  -25.431906974
    0.981747704 -110.620934445  -12.683454174
    1.079922475 -111.111817154    2.908539724
    1.178097245 -110.000984966   19.658846241
    1.276272016 -107.258786853   35.925831513
    1.374446786 -102.988383339   50.648977091
    1.472621556  -97.383951824   62.923609891
    1.570796327  -90.734960250   71.672870976
    1.668971097  -83.450533589   75.717478694
    1.767145868  -76.045019210   74.015212561
    1.865320638  -69.104321245   66.233738739
    1.963495408  -63.211809193   52.807780184
    2.061670179  -58.870930096   34.837023885
    2.159844949  -56.450859347   13.989917158
    2.258019720  -56.136711691   -7.686406784
    2.356194490  -57.902762663  -28.039836680
    2.454369261  -61.521184617  -45.105287998
    2.552544031  -66.596634622  -57.606238564
    2.650718801  -72.649042653  -64.977283187
    2.748893572  -79.187345594  -67.558684620
    2.847068342  -85.779175818  -66.266389211
    2.945243113  -92.095739735  -62.092338419
    3.043417883  -97.907133420  -56.094574922
